epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
epoch,train_loss,train_tok_acc,val_loss,val_tok_acc,val_seq_acc,val_tok_acc_decode,lr,tf_ratio,time
4,2.888068,0.440480,4.185567,0.164081,0.002467,0.145824,0.00032000,0.7881,273.2
5,2.765145,0.470221,4.007687,0.191950,0.004112,0.169714,0.00040000,0.7841,274.8
6,2.642911,0.503436,4.019557,0.214541,0.005757,0.193311,0.00048000,0.7802,276.0
7,2.545567,0.529538,3.802658,0.241545,0.008224,0.207986,0.00056000,0.7763,263.0
8,2.464786,0.551445,3.801313,0.258517,0.011513,0.236507,0.00064000,0.7724,274.1
9,2.390867,0.574341,3.422587,0.296862,0.022204,0.266930,0.00072000,0.7686,271.8
10,2.344982,0.588201,3.418995,0.315331,0.027961,0.285359,0.00080000,0.7647,275.1
11,2.289143,0.605020,3.203479,0.356669,0.055921,0.323192,0.00079993,0.7609,271.0
12,2.227141,0.623393,3.244263,0.361127,0.060855,0.333870,0.00079973,0.7571,269.4
13,2.179305,0.637766,3.189033,0.372910,0.082237,0.341719,0.00079939,0.7533,273.7
14,2.133007,0.651911,2.859615,0.425516,0.114309,0.392521,0.00079891,0.7495,273.1
15,2.075746,0.666879,2.793231,0.457882,0.145559,0.434011,0.00079829,0.7458,269.1
16,2.047162,0.676611,2.668018,0.483392,0.148026,0.461947,0.00079754,0.7421,275.7
17,2.013735,0.685692,2.582565,0.501408,0.186678,0.482863,0.00079666,0.7383,273.2
18,1.976829,0.696510,2.441492,0.518505,0.199013,0.494905,0.00079564,0.7347,272.3
19,1.949918,0.704050,2.287084,0.551446,0.225329,0.529618,0.00079448,0.7310,274.7
20,1.917607,0.714780,2.273004,0.554591,0.231908,0.528351,0.00079319,0.7273,270.7
21,1.889028,0.722038,2.239084,0.576091,0.255757,0.557457,0.00079176,0.7237,270.5
22,1.867682,0.727923,2.173432,0.577650,0.265625,0.555702,0.00079020,0.7201,273.1
23,1.841158,0.736153,2.116652,0.594967,0.292763,0.569987,0.00078851,0.7165,271.9
24,1.822685,0.740718,2.006614,0.612303,0.319079,0.591146,0.00078669,0.7129,277.2
25,1.786833,0.751290,1.943157,0.628254,0.324013,0.610745,0.00078473,0.7093,274.7
26,1.772267,0.755423,1.932649,0.626296,0.314145,0.607918,0.00078264,0.7058,269.4
27,1.750014,0.762168,1.869241,0.635539,0.342105,0.616693,0.00078042,0.7022,276.1
28,1.735412,0.765327,1.730621,0.660332,0.342105,0.641656,0.00077807,0.6987,274.7
29,1.723506,0.770158,1.733380,0.665827,0.370066,0.645849,0.00077560,0.6952,272.7
30,1.691408,0.778034,1.658321,0.683544,0.379934,0.665935,0.00077299,0.6918,275.0
31,1.680971,0.781269,1.643738,0.685407,0.388980,0.670128,0.00077026,0.6883,271.5
32,1.659810,0.788251,1.618020,0.688735,0.402961,0.672030,0.00076739,0.6849,275.0
33,1.653006,0.789068,1.640307,0.690565,0.400493,0.675247,0.00076441,0.6814,272.6
34,1.630475,0.795296,1.580081,0.698865,0.412829,0.682561,0.00076130,0.6780,272.7
